mint,action,confidence,reasoning,modelLatencyMs
HMJKARkqpNxKfxF6kAayrGCBozcupHX3GrZ8bhvWpump,BUY,0.72,"Mid-curve position with volume re-accelerating, zero dev sales, healthy 194 holders, and holder_growth signals momentum despite slow recent growth rate.",1739
GDShNPDh22CpeUruKJ7uxnXEcxptU4dtjFymvorTpump,BUY,0.72,"Mid-curve position with volume acceleration, zero dev selling, healthy holder count, and low rug risk signals legitimate traction into graduation window.",1729
EZTgySaSt3Skg4NDkZHFaGj6dFST45cNfYgxf1o7pump,BUY,0.72,"Token at 67% bonding curve with accelerating volume, healthy 117 holders (33% top-10 concentration acceptable), dev holding full bag, no prior rugs, and multiple aligned signals in graduation window.",1826
31mYWYLzSuU16bSsGYVegdM9FmNRBUoVh34Msv9cpump,BUY,0.72,"Mid-curve position with volume acceleration, clean dev history, reasonable holder distribution, and holder growth momentum aligns with graduation-window setup.",1478
6aEd5P4LhxszBg23vMbBLRScZLdxbGVPDmRVbnfqpump,BUY,0.72,"Mid-curve position with volume acceleration, healthy holder count (126), low dev concentration (0% sold), and no rug history; clean fundamentals support entry into graduation window.",3968
78G9nhe8E9xLFwdS6Utc2aSRXjxCkDyYE2tiaKNBpump,BUY,0.72,"Mid-curve position with accelerating volume, healthy holder count, zero dev dumps, and no rug history confirm graduation-window entry setup.",1880
ADPHGyCzSCPJFw3KjjAC8qnfGi5LtvTvVg3Wxi6Fpump,BUY,0.72,"Token at mid-curve (51%) with zero dev selling, healthy holder distribution (17% top-10), accelerating volume, and clean launch history; momentum confirms position despite low holder growth rate.",1642
6MQCTQf8Mo7pCwvFbdPsWG3L4UoCFy2emcFmNHeWkbSZ,BUY,0.72,"Mid-curve position with volume acceleration, healthy holder count, zero dev red flags, and dev still holding full bag; momentum signals align despite flat holder growth.",1589
jHe4orope7G2BXMFnzfheDTvF4kzz1avCEu7ohFpump,BUY,0.72,"Mid-curve position with volume acceleration, healthy holder distribution, clean dev history, and no dumps—multiple signals align for graduation-window entry.",2185
7SbC5RmmqJVbgJk5Ty9Pi1EEVnS9Yszwvy8eL71rpump,BUY,0.72,"Token at optimal 42% curve position with accelerating volume, zero dev selling, healthy 154 holders at 27% top-10 concentration, and strong gaming meta alignment.",1579
CL69tuHRvRcMiy9SaJ4gsjgKZgWRm71uqQuHz9C5pump,SKIP,0.95,Dev has sold 67% of their bag while token is only 84% toward graduation—significant dump risk and misaligned incentives despite decent volume and holder growth.,1998
29mqw9EmRr2yu5U1wUBKbmTNxBxkpCAHrnizLWVKpump,BUY,0.72,"Mid-curve position with accelerating volume, healthy holder distribution (119 unique, 33% top-10), dev holding full bag across 49 prior launches with zero rugs, fits current meta tags.",1654
DhYdhfsJBf9RftCTkcSnvR1CTZk3iQcSvJnpcCVHpump,SKIP,0.95,Dev has dumped 54.5% of bag and holder growth stalled at zero per minute despite volume acceleration—red flags override momentum signal.,1743
GTtNj9FEqkP9Xtw4y2bFxMXVMM1iDcFKKBE2zQSzpump,SKIP,0.85,"Holder growth stalled at zero per minute despite volume acceleration, and top-10 concentration at 39% is elevated for mid-curve position.",2771
F2mpxGkbGfo4fzVYPJqt38W5rtHeQnwYhqZSFRfkpump,SKIP,0.92,Holder growth stalled at 0/min despite volume acceleration and reasonable curve position; lack of sustained momentum confirms abandonment pattern.,5420
FaAWtcuxE4st2nSeqyo8p34FUzrntyaxd8tLvof1pump,BUY,0.72,"Mid-curve position with volume acceleration, healthy holder distribution, clean dev profile, and meta alignment; momentum signals confirm entry window.",1779
F25zq8u4TbtaQxq3i1qtcndUmFaLCAAYtoraKSwYpump,BUY,0.72,"Mid-curve position with volume acceleration, healthy holder count, dev holding full bag, and meta fit; low holder growth rate is mild concern but volume signals justify small entry.",1998
